"trading_symbol","record_time","open","high","low","close","d_vwap","volume"
SBIN,2016-01-01 00:00:00.000,225.0,228.9,224.5,227.8,226.94,6449426
SBIN,2016-01-04 00:00:00.000,226.95,226.95,220.05,220.7,222.8,14092071
SBIN,2016-01-05 00:00:00.000,222.8,222.8,217.0,217.75,219.46,15074848
SBIN,2016-01-06 00:00:00.000,217.9,219.9,216.4,216.85,218.0,11921123
SBIN,2016-01-07 00:00:00.000,214.0,214.1,209.0,209.55,210.81,14342279
SBIN,2016-01-08 00:00:00.000,212.0,212.5,208.6,208.95,209.9,11745840
SBIN,2016-01-11 00:00:00.000,206.8,207.5,202.65,204.3,204.7,19287860
SBIN,2016-01-12 00:00:00.000,204.85,205.0,198.6,199.4,201.27,20318816
SBIN,2016-01-13 00:00:00.000,201.35,202.4,194.0,200.9,199.04,23788247
SBIN,2016-01-14 00:00:00.000,197.0,201.5,194.3,196.05,197.76,20256636
SBIN,2016-01-15 00:00:00.000,197.8,197.8,181.0,184.3,189.55,29090426
SBIN,2016-01-18 00:00:00.000,184.9,188.15,179.15,181.0,183.5,35653244
SBIN,2016-01-19 00:00:00.000,182.15,187.8,181.5,182.95,184.33,24501774
SBIN,2016-01-20 00:00:00.000,180.65,180.65,171.5,173.65,175.17,28655794
SBIN,2016-01-21 00:00:00.000,177.0,178.65,172.05,175.6,175.34,28697205
SBIN,2016-01-22 00:00:00.000,179.9,185.4,178.3,184.6,182.62,21432409
SBIN,2016-01-25 00:00:00.000,187.9,188.8,182.5,182.95,185.41,17534650
SBIN,2016-01-27 00:00:00.000,184.4,186.2,181.05,184.4,184.03,16569813
SBIN,2016-01-28 00:00:00.000,184.2,185.9,182.5,185.25,184.54,20241030
SBIN,2016-01-29 00:00:00.000,184.2,185.75,178.1,179.9,180.55,24259147
SBIN,2016-02-01 00:00:00.000,181.95,181.95,172.1,172.75,175.47,22915269
SBIN,2016-02-02 00:00:00.000,173.1,177.4,168.6,169.4,172.63,35957332
SBIN,2016-02-03 00:00:00.000,167.8,167.8,163.25,166.05,165.82,24132003
SBIN,2016-02-04 00:00:00.000,169.3,169.8,160.2,162.85,164.85,23811109
SBIN,2016-02-05 00:00:00.000,163.7,169.3,162.2,168.2,166.31,22732245
